from;to;length;latFrom;lonFrom;latTo;lonTo;surface
6666;54766;394.1674840504607;49.882908;14.149495;49.886338;14.149512;788.3349681009214
16050;26007;816.2711849225644;49.913233;14.260372;49.91317;14.254775;1632.5423698451289
15286;49692;16.499654346573404;49.87708;14.262076;49.877225;14.262099;32.99930869314681
8170;8158;406.9149409679827;49.97603;14.401507;49.973703;14.399328;813.8298819359654
57320;57358;69.71046246533311;49.913874;14.075287;49.914052;14.074459;139.42092493066622
15446;44775;102.00490184299969;49.888689;14.209746;49.887785;14.209958;204.00980368599937
16358;16504;384.0070155322501;49.898879;14.261188;49.900764;14.257026;768.0140310645002
41298;29838;3.605551275463989;50.011652;14.384404;50.011622;14.384389;7.211102550927978
40940;40931;361.261512906754;49.953659;14.312745;49.955919;14.316242;722.523025813508
40939;40940;394.474618486677;49.954776;14.317186;49.953659;14.312745;788.949236973354
48455;70091;332.2235859271917;49.926088;14.030438;49.927257;14.026377;664.4471718543834
58589;18121;180.34164869432942;49.936887;14.353642;49.93798;14.351776;360.68329738865884
40940;40939;394.474618486677;49.953659;14.312745;49.954776;14.317186;788.949236973354
24557;24569;53.17447168538071;49.888681;14.329216;49.888211;14.329112;106.34894337076142
25335;447;278.5809030799794;50.013072;14.356344;50.010612;14.356839;557.1618061599588
25335;469;56.568542494923804;50.013072;14.356344;50.013076;14.355565;113.13708498984761
25335;464;121.29569430577726;50.013072;14.356344;50.014066;14.356864;242.59138861155452
16366;16374;158.91773613167967;49.903838;14.238486;49.90345;14.24015;476.753208395039
16366;16377;82.95887179060622;49.903838;14.238486;49.904551;14.23832;248.87661537181867
24561;24483;61.41266048602053;49.888356;14.323104;49.888862;14.323401;122.82532097204106
58589;18225;106.44918590475129;49.936887;14.353642;49.936264;14.354765;212.89837180950258
14930;60937;149.11134136815957;49.904119;14.188727;49.904307;14.190752;298.22268273631914
14922;61180;78.79086241436883;49.90327;14.152702;49.90395;14.152999;157.58172482873766
23668;52195;36.61919780598901;49.94903;14.333035;49.948707;14.333013;73.23839561197802
16368;16379;124.0486759121124;49.9032;14.240664;49.90362;14.242255;248.0973518242248
14931;60918;46.167043246397085;49.902224;14.190825;49.902094;14.190226;92.33408649279417
16368;16371;37.66389482355123;49.9032;14.240664;49.903415;14.240378;75.32778964710246
58741;13533;11.40175425099138;49.932543;14.34567;49.932624;14.345783;22.80350850198276
57331;57297;30.09731453311269;49.913921;14.069326;49.913789;14.068959;60.19462906622538
58836;10621;822.1523884913771;49.925693;14.13743;49.925776;14.13904;1644.3047769827542
65523;65524;285.8128758471178;50.014677;14.328042;50.014677;14.332033;571.6257516942356
65523;65526;89.80534505250787;50.014677;14.328042;50.015493;14.328038;179.61069010501575
57332;57291;40.83829144571418;49.91391;14.069503;49.913718;14.069979;81.67658289142835
65524;65510;320.2908370125239;50.014677;14.332033;50.014106;14.328342;640.5816740250478
16371;16368;37.66389482355123;49.903415;14.240378;49.9032;14.240664;75.32778964710246
24374;30435;23.769728648009426;49.972269;14.066039;49.972355;14.066341;47.53945729601885
57331;57355;26.174829620356036;49.913921;14.069326;49.914032;14.068996;52.34965924071207
14757;66419;599.8460298240522;49.964931;14.043234;49.967027;14.03625;1799.5380894721566
16371;16373;44.34628628234458;49.903415;14.240378;49.903805;14.240497;88.69257256468916
16371;16374;17.08800749063506;49.903415;14.240378;49.90345;14.24015;51.26402247190518
65523;65510;76.95547006440172;50.014677;14.328042;50.014106;14.328342;153.91094012880345
57331;57332;13.341664064126334;49.913921;14.069326;49.91391;14.069503;26.68332812825267
24567;24479;86.97700845625813;49.891422;14.32414;49.891262;14.325338;173.95401691251627
16220;21097;94.49338601193207;49.946013;14.310456;49.945387;14.309558;188.98677202386415
57331;57388;138.46774021253856;49.913921;14.069326;49.914359;14.071074;276.9354804250771
24567;24471;56.7017944923183;49.891422;14.32414;49.890998;14.323705;113.4035889846366
40948;40950;22.0;49.971473;14.400167;49.97167;14.400131;44.0
16373;16371;44.34628628234458;49.903805;14.240497;49.903415;14.240378;88.69257256468916
